Country,Item Type,Order Priority,Units Sold,Unit Price,Unit Cost,Year,Order Date
Iceland,Meat,M,7309,421.89,364.69,2015,7-9-2015
Finland,Cereal,H,745,205.7,117.11,2015,3-10-2015
Turkey,Clothes,L,4909,109.28,35.84,2017,5-8-2017
Finland,Meat,H,3542,421.89,364.69,2017,7-8-2017
Germany,Vegetables,L,8921,154.06,90.93,2016,4-2-2016
Iceland,Cereal,H,7987,205.7,117.11,2015,10-9-2015
Turkey,Meat,C,3740,421.89,364.69,2017,6-9-2017
Norway,Vegetables,C,7774,154.06,90.93,2016,10-3-2016
Norway,Clothes,C,4529,109.28,35.84,2015,6-5-2015
Germany,Vegetables,L,7315,154.06,90.93,2017,5-6-2017
Finland,Meat,H,6271,421.89,364.69,2016,7-7-2016
Turkey,Vegetables,L,1207,154.06,90.93,2016,3-7-2016
Norway,Meat,H,9917,421.89,364.69,2016,4-2-2016
Germany,Meat,C,4972,421.89,364.69,2015,10-7-2015
Finland,Meat,H,3325,421.89,364.69,2016,4-8-2016
Germany,Cereal,L,5810,205.7,117.11,2016,5-2-2016
Finland,Meat,C,5366,421.89,364.69,2015,4-11-2015
Norway,Clothes,H,5739,109.28,35.84,2017,2-7-2017
Finland,Vegetables,H,6305,154.06,90.93,2016,5-2-2016
Norway,Vegetables,C,5703,154.06,90.93,2017,2-2-2017
Norway,Cereal,M,6476,205.7,117.11,2017,3-8-2017
Germany,Clothes,L,6198,109.28,35.84,2016,8-10-2016
Turkey,Clothes,H,399,109.28,35.84,2016,4-8-2016
Iceland,Vegetables,H,4292,154.06,90.93,2015,6-11-2015
Turkey,Clothes,H,2471,109.28,35.84,2015,12-8-2015
Norway,Vegetables,M,6459,154.06,90.93,2015,6-5-2015
Turkey,Vegetables,M,3816,154.06,90.93,2015,5-1-2015
Norway,Meat,C,9346,421.89,364.69,2015,11-5-2015
Turkey,Clothes,M,5610,109.28,35.84,2015,1-9-2015
Iceland,Clothes,C,4433,109.28,35.84,2017,7-3-2017
Germany,Clothes,C,8053,109.28,35.84,2015,1-10-2015
Iceland,Cereal,M,6411,205.7,117.11,2017,7-9-2017
Finland,Clothes,M,3396,109.28,35.84,2016,2-7-2016
Turkey,Cereal,M,4796,205.7,117.11,2016,11-9-2016
Iceland,Cereal,M,1286,205.7,117.11,2015,3-6-2015
Germany,Cereal,L,513,205.7,117.11,2016,4-5-2016
Iceland,Vegetables,M,5112,154.06,90.93,2015,5-11-2015
Turkey,Cereal,L,824,205.7,117.11,2015,4-6-2015
Germany,Clothes,H,155,109.28,35.84,2015,5-8-2015
Germany,Meat,L,8229,421.89,364.69,2017,2-5-2017
Finland,Cereal,L,5255,205.7,117.11,2016,4-8-2016
Germany,Cereal,M,2014,205.7,117.11,2015,7-8-2015
Finland,Cereal,C,4877,205.7,117.11,2017,2-6-2017
Germany,Clothes,C,5514,109.28,35.84,2017,1-1-2017
Norway,Meat,H,2002,421.89,364.69,2016,2-11-2016
Turkey,Clothes,M,7607,109.28,35.84,2015,9-10-2015
Norway,Vegetables,M,2781,154.06,90.93,2016,11-7-2016
Finland,Meat,C,5934,421.89,364.69,2015,6-2-2015
Norway,Meat,L,5638,421.89,364.69,2016,8-12-2016
Iceland,Cereal,C,1493,205.7,117.11,2016,8-12-2016
Norway,Vegetables,C,9611,154.06,90.93,2017,2-8-2017
Norway,Cereal,C,2126,205.7,117.11,2016,6-1-2016
Turkey,Cereal,L,8038,205.7,117.11,2015,5-2-2015
Norway,Clothes,C,5478,109.28,35.84,2015,1-1-2015
Finland,Meat,L,66,421.89,364.69,2017,5-1-2017
Germany,Vegetables,C,920,154.06,90.93,2017,3-10-2017
Finland,Cereal,L,6861,205.7,117.11,2015,3-7-2015
Turkey,Cereal,L,8969,205.7,117.11,2016,11-4-2016
Finland,Clothes,C,7191,109.28,35.84,2016,12-1-2016
Norway,Cereal,L,9775,205.7,117.11,2016,8-2-2016
Germany,Cereal,H,7214,205.7,117.11,2016,11-8-2016
Turkey,Cereal,H,782,205.7,117.11,2017,3-10-2017
Turkey,Cereal,M,5936,205.7,117.11,2015,1-5-2015
Finland,Vegetables,L,598,154.06,93.2,2016,3-2-2016
Germany,Vegetables,C,1577,154.06,90.93,2016,7-9-2016
Norway,Meat,C,6777,421.89,364.69,2017,3-1-2017
Finland,Clothes,H,8259,109.28,35.84,2016,5-5-2016
Germany,Vegetables,H,5343,154.06,90.93,2016,9-6-2016
Germany,Meat,M,4917,421.89,364.69,2015,2-6-2015
Iceland,Vegetables,H,135,154.06,90.93,2015,12-2-2015
Finland,Clothes,C,8637,109.28,35.84,2015,7-6-2015
Turkey,Meat,L,209,421.89,364.69,2016,8-3-2016
Iceland,Meat,M,2043,421.89,364.69,2016,2-7-2016
Iceland,Vegetables,L,10000,154.06,90.93,2015,8-11-2015
Turkey,Clothes,H,4791,109.28,35.84,2015,2-8-2015
Turkey,Vegetables,M,547,154.06,90.93,2016,8-1-2016
Iceland,Cereal,L,9959,205.7,117.11,2016,6-7-2016
Finland,Clothes,H,9382,109.28,35.84,2016,6-6-2016
Finland,Cereal,L,4789,205.7,117.11,2015,7-7-2015
Turkey,Meat,H,4967,421.89,364.69,2017,3-7-2017
Iceland,Clothes,H,8535,109.28,35.84,2016,5-12-2016
Germany,Meat,H,2975,421.89,364.69,2015,2-5-2015
Norway,Meat,M,4570,421.89,364.69,2017,3-10-2017
Iceland,Cereal,L,1622,205.7,117.11,2016,4-9-2016
Finland,Meat,L,315,421.89,364.69,2016,11-3-2016
Germany,Clothes,L,1092,109.28,35.84,2017,7-5-2017
Norway,Clothes,C,4280,109.28,35.84,2015,12-2-2015
Iceland,Meat,H,2886,421.89,364.69,2016,1-10-2016
Norway,Clothes,H,9168,109.28,35.84,2016,3-2-2016
Turkey,Vegetables,C,2200,154.06,90.93,2016,8-11-2016
Iceland,Cereal,L,425,205.7,117.11,2017,3-10-2017
Germany,Cereal,C,7343,205.7,119.35,2016,7-7-2016
Iceland,Meat,M,2260,421.89,364.69,2017,5-8-2017
Germany,Meat,C,2652,421.89,364.69,2016,8-5-2016
Turkey,Cereal,H,1674,205.7,117.11,2015,11-1-2015
Norway,Meat,L,9781,421.89,368.1,2015,12-11-2015
Norway,Clothes,C,6818,109.28,35.84,2016,5-3-2016
Iceland,Cereal,L,3943,205.7,117.11,2015,6-12-2015
Germany,Cereal,C,6394,205.7,117.11,2016,12-9-2016
Finland,Clothes,M,610,109.28,37.25,2016,3-4-2016
Germany,Vegetables,M,9765,154.06,90.93,2016,3-5-2016
Norway,Meat,C,4705,421.89,364.69,2017,7-1-2017
Germany,Cereal,M,922,205.7,117.11,2016,2-1-2016
Iceland,Cereal,L,2031,205.7,121,2016,2-6-2016
Norway,Cereal,M,6635,205.7,117.11,2017,7-2-2017
Iceland,Meat,L,4610,421.89,364.69,2017,3-7-2017
Turkey,Meat,M,9230,421.89,370.22,2016,5-10-2016
Norway,Meat,M,3855,421.89,364.69,2016,12-4-2016
Germany,Cereal,H,8949,205.7,117.11,2015,6-4-2015
Iceland,Clothes,C,2201,109.28,35.84,2017,7-10-2017
Finland,Vegetables,C,5574,154.06,90.93,2015,8-11-2015
Norway,Meat,M,1624,421.89,364.69,2016,12-11-2016
Iceland,Meat,M,3706,421.89,364.69,2015,12-10-2015
Finland,Vegetables,M,6176,154.06,90.93,2016,9-3-2016
Germany,Vegetables,C,3313,154.06,90.93,2015,2-2-2015
Finland,Meat,L,1761,421.89,364.69,2015,6-7-2015
Iceland,Cereal,C,6293,205.7,117.11,2015,4-11-2015
Iceland,Vegetables,L,9751,154.06,90.93,2016,2-6-2016
Finland,Meat,M,533,421.89,364.69,2015,9-10-2015
Germany,Cereal,L,2993,205.7,117.11,2015,10-1-2015
Turkey,Cereal,H,316,205.7,117.11,2016,6-7-2016
Finland,Cereal,C,1589,205.7,117.11,2015,2-10-2015
Norway,Clothes,L,3301,109.28,35.84,2015,9-8-2015
Turkey,Clothes,H,2005,109.28,35.84,2015,3-7-2015
Iceland,Vegetables,C,5638,154.06,90.93,2017,6-6-2017
Germany,Cereal,C,5272,205.7,117.11,2016,11-6-2016
Turkey,Cereal,C,2926,205.7,117.11,2015,8-2-2015
Norway,Vegetables,M,6050,154.06,90.93,2015,8-8-2015
Germany,Vegetables,M,7197,154.06,90.93,2015,2-6-2015
Iceland,Vegetables,H,3795,154.06,90.93,2016,6-5-2016
Norway,Vegetables,M,7173,154.06,90.93,2015,9-10-2015
Norway,Meat,C,8689,421.89,364.69,2016,7-5-2016
Iceland,Clothes,L,9545,109.28,35.84,2017,4-3-2017
Iceland,Meat,C,5838,421.89,364.69,2016,12-2-2016
Turkey,Vegetables,H,51,154.06,90.93,2015,3-4-2015
Finland,Cereal,C,9269,205.7,117.11,2015,12-9-2015
Norway,Cereal,L,4575,205.7,117.11,2015,4-2-2015
Iceland,Clothes,H,4552,109.28,35.84,2017,5-8-2017
Turkey,Cereal,H,4708,205.7,117.11,2015,4-9-2015
Germany,Meat,L,9805,421.89,364.69,2015,5-9-2015
Germany,Cereal,C,5520,205.7,117.11,2016,5-11-2016
Norway,Cereal,M,1116,205.7,117.11,2015,7-12-2015
Finland,Meat,L,1978,421.89,365.45,2016,9-5-2016
Finland,Clothes,C,6783,109.28,35.84,2017,2-3-2017
Norway,Vegetables,L,4958,154.06,90.93,2016,3-3-2016
Norway,Meat,L,8175,421.89,364.69,2017,1-12-2017
Finland,Cereal,H,8585,205.7,117.11,2016,5-1-2016
Finland,Meat,M,6625,421.89,365.2,2015,9-4-2015
Iceland,Meat,C,6393,421.89,364.69,2016,11-12-2016
Turkey,Cereal,H,8959,205.7,117.11,2017,1-12-2017
Norway,Cereal,C,4912,205.7,117.11,2016,5-6-2016
Turkey,Meat,C,5345,421.89,364.69,2016,5-7-2016
Germany,Clothes,M,4256,109.28,35.84,2016,8-9-2016
Finland,Meat,M,6376,421.89,364.69,2016,3-1-2016
Iceland,Clothes,H,9427,109.28,35.84,2015,1-4-2015
Iceland,Meat,H,4710,421.89,364.69,2016,3-7-2016
Norway,Cereal,H,7102,205.7,117.11,2015,11-10-2015
Turkey,Cereal,M,6650,205.7,121.2,2015,4-11-2015
Norway,Vegetables,L,7043,154.06,90.93,2016,1-12-2016
Norway,Cereal,M,9670,205.7,117.11,2016,12-8-2016
Iceland,Clothes,C,2933,109.28,35.84,2015,11-7-2015
Finland,Cereal,H,3691,205.7,117.11,2015,6-8-2015
Norway,Clothes,H,5814,109.28,35.84,2016,2-5-2016
Germany,Cereal,M,1139,205.7,117.11,2017,5-2-2017
Turkey,Vegetables,M,2707,154.06,93.2,2015,6-9-2015
Turkey,Vegetables,H,268,154.06,90.93,2016,6-1-2016
Finland,Meat,M,7716,421.89,364.69,2017,7-3-2017
Norway,Meat,H,5183,421.89,364.69,2015,9-2-2015
Germany,Meat,H,4185,421.89,364.69,2016,10-9-2016
Turkey,Clothes,L,9460,109.28,35.84,2016,7-4-2016
Germany,Meat,L,6158,421.89,364.69,2017,6-8-2017
Germany,Clothes,C,5324,109.28,35.84,2016,1-11-2016
Norway,Clothes,M,8164,109.28,35.84,2015,12-5-2015
Germany,Clothes,H,6712,109.28,39.25,2016,2-2-2016
Germany,Clothes,L,2916,109.28,35.84,2015,4-9-2015
Germany,Meat,H,1618,421.89,364.69,2015,9-12-2015
Turkey,Cereal,M,8881,205.7,117.11,2015,4-4-2015
Finland,Cereal,L,9647,205.7,117.11,2015,2-8-2015
Norway,Clothes,C,5154,109.28,35.84,2016,7-1-2016
Iceland,Meat,M,6900,421.89,364.69,2015,9-11-2015
Norway,Cereal,M,7190,205.7,117.11,2017,6-12-2017
Norway,Clothes,H,6311,109.28,35.84,2015,2-11-2015
Norway,Meat,C,6866,421.89,364.69,2016,5-9-2016
Germany,Clothes,M,1440,109.28,36.3,2016,1-8-2016
Norway,Meat,C,8631,421.89,364.69,2015,8-1-2015
Iceland,Vegetables,L,2573,154.06,90.93,2017,5-2-2017
Norway,Vegetables,C,6665,154.06,90.93,2016,11-11-2016
Iceland,Vegetables,C,9781,154.06,90.93,2016,10-3-2016
Iceland,Meat,M,5472,421.89,364.69,2015,3-3-2015
Turkey,Clothes,L,7140,109.28,35.84,2017,5-2-2017
Turkey,Cereal,H,2388,205.7,117.11,2016,2-6-2016
Iceland,Clothes,M,1121,109.28,35.84,2015,7-4-2015
Turkey,Cereal,H,3994,205.7,118.75,2015,1-3-2015
Turkey,Meat,M,2659,421.89,364.69,2015,6-4-2015
Turkey,Meat,C,7914,421.89,364.69,2015,1-11-2015
Turkey,Vegetables,H,8910,154.06,90.93,2017,1-6-2017
Germany,Clothes,H,9995,109.28,35.84,2015,1-12-2015
Finland,Vegetables,H,6145,154.06,90.93,2016,1-7-2016
Norway,Meat,M,2498,421.89,364.69,2017,7-11-2017
Iceland,Clothes,C,5005,109.28,35.84,2015,7-7-2015
Turkey,Meat,H,9519,421.89,366.35,2016,5-2-2016
Turkey,Clothes,C,7960,109.28,35.84,2017,4-1-2017
Norway,Cereal,M,7922,205.7,117.11,2015,10-10-2015
Germany,Vegetables,C,1298,154.06,90.93,2016,5-10-2016
Turkey,Clothes,H,2848,109.28,35.84,2017,7-1-2017
Norway,Cereal,H,7337,205.7,117.11,2015,3-4-2015
Turkey,Meat,L,3244,421.89,364.69,2016,1-10-2016
Iceland,Meat,H,1050,421.89,365.5,2015,9-3-2015
Finland,Clothes,C,226,109.28,35.84,2016,5-10-2016
Germany,Vegetables,C,1081,154.06,90.93,2015,2-9-2015
Turkey,Cereal,C,446,205.7,117.11,2016,2-4-2016
Turkey,Clothes,H,8793,109.28,35.84,2017,5-12-2017
Iceland,Meat,M,597,421.89,364.69,2017,7-6-2017
Norway,Clothes,M,950,109.28,36.23,2015,11-9-2015
Iceland,Meat,L,9002,421.89,364.69,2016,1-7-2016
Germany,Clothes,M,260,109.28,35.84,2015,1-1-2015
Norway,Clothes,L,5372,109.28,35.84,2015,5-8-2015
Iceland,Clothes,C,5413,109.28,35.84,2015,5-4-2015
Finland,Vegetables,C,5077,154.06,90.93,2016,8-4-2016
Norway,Cereal,H,6388,205.7,117.11,2015,8-6-2015
Finland,Vegetables,M,8247,154.06,90.93,2016,5-3-2016
Norway,Cereal,C,7232,205.7,118.42,2015,7-9-2015
Norway,Meat,M,2822,421.89,364.69,2016,1-11-2016
Norway,Vegetables,H,4823,154.06,90.93,2015,11-11-2015
Finland,Clothes,C,4711,109.28,35.84,2017,6-6-2017
Iceland,Clothes,M,6729,109.28,35.84,2016,9-1-2016
Germany,Vegetables,C,3064,154.06,90.93,2015,8-1-2015
Finland,Vegetables,C,4860,154.06,90.93,2015,5-7-2015
Turkey,Cereal,M,6402,205.7,117.11,2015,10-8-2015
Turkey,Vegetables,L,2955,154.06,94.2,2017,5-5-2017
Finland,Vegetables,C,3006,154.06,90.93,2016,12-5-2016
Iceland,Cereal,M,8731,205.7,117.11,2016,9-10-2016
Germany,Meat,L,5998,421.89,364.69,2017,2-12-2017
Finland,Cereal,L,2935,205.7,117.11,2017,2-4-2017
Germany,Vegetables,C,1329,154.06,90.93,2017,1-5-2017
Finland,Clothes,L,7161,109.28,35.84,2016,4-5-2016
Germany,Meat,M,5662,421.89,364.69,2016,1-9-2016
Norway,Meat,H,3577,421.89,366.31,2016,10-5-2016
Norway,Clothes,M,3022,109.28,35.84,2015,7-9-2015
Turkey,Vegetables,H,8693,154.06,90.93,2015,10-8-2015
Iceland,Vegetables,M,3040,154.06,90.93,2015,9-11-2015
Germany,Meat,C,1529,421.89,364.69,2016,7-3-2016
Germany,Clothes,L,1341,109.28,35.84,2017,1-6-2017
Finland,Meat,H,5645,421.89,364.69,2015,6-11-2015
Norway,Cereal,L,1630,205.7,117.11,2015,1-2-2015
Finland,Clothes,M,6825,109.28,36,2015,3-2-2015
Finland,Meat,H,5862,421.89,364.69,2016,9-8-2016
Finland,Clothes,M,7379,109.28,35.84,2015,2-10-2015
Norway,Clothes,M,7916,109.28,35.84,2016,6-2-2016
Iceland,Meat,C,230,421.89,364.69,2015,10-4-2015
Norway,Cereal,L,1772,205.7,117.11,2017,4-4-2017
Finland,Clothes,L,6212,109.28,35.84,2016,9-7-2016
Turkey,Clothes,H,4951,109.28,35.84,2015,6-4-2015
Finland,Meat,M,5893,421.89,364.69,2017,5-6-2017
Turkey,Cereal,M,2724,205.7,117.11,2017,3-12-2017
Finland,Clothes,M,1076,109.28,35.84,2016,12-5-2016
Finland,Vegetables,M,7782,154.06,90.93,2015,8-1-2015
Turkey,Vegetables,H,605,154.06,92.24,2015,2-12-2015
Iceland,Clothes,C,6287,109.28,35.84,2015,12-3-2015
Finland,Vegetables,H,6642,154.06,90.93,2015,1-12-2015
Turkey,Vegetables,C,3074,154.06,90.93,2017,3-11-2017
Norway,Vegetables,C,6417,154.06,90.93,2017,5-9-2017
Norway,Meat,C,7491,421.89,364.69,2017,6-5-2017
Iceland,Clothes,M,7691,109.28,35.84,2016,6-9-2016
Turkey,Cereal,C,854,205.7,117.11,2015,12-2-2015
Germany,Cereal,H,1517,205.7,117.11,2016,7-2-2016
Norway,Vegetables,M,3979,154.06,90.93,2015,12-9-2015
Norway,Vegetables,C,8489,154.06,92.25,2017,1-7-2017
Turkey,Vegetables,H,6373,154.06,90.93,2016,8-6-2016
Turkey,Cereal,L,575,205.7,117.11,2015,10-3-2015
Iceland,Cereal,H,6381,205.7,117.11,2016,11-11-2016
Norway,Clothes,M,9344,109.28,35.84,2016,12-11-2016
Turkey,Vegetables,L,9849,154.06,90.93,2016,10-12-2016
Finland,Meat,M,8678,421.89,364.69,2017,4-10-2017
Germany,Clothes,M,2097,109.28,35.84,2015,5-9-2015
Germany,Vegetables,M,7414,154.06,91,2016,5-6-2016
Iceland,Cereal,H,7272,205.7,117.11,2015,7-5-2015
Germany,Clothes,C,5603,109.28,35.84,2016,3-12-2016
Finland,Clothes,C,8389,109.28,35.84,2016,1-2-2016
Norway,Cereal,L,2810,205.7,117.11,2016,1-9-2016
Iceland,Cereal,M,89,205.7,117.11,2016,2-4-2016
Turkey,Clothes,C,8208,109.28,35.84,2016,10-3-2016
Germany,Cereal,L,3578,205.7,117.11,2016,5-9-2016
Finland,Meat,L,3832,421.89,364.69,2015,2-5-2015
Finland,Vegetables,M,7138,154.06,91,2016,6-12-2016
Finland,Vegetables,L,3632,154.06,90.93,2015,8-9-2015
Turkey,Clothes,L,8103,109.28,35.84,2017,2-7-2017
Finland,Meat,M,6141,421.89,364.69,2016,11-8-2016
Turkey,Vegetables,M,2299,154.06,90.93,2015,8-12-2015
Turkey,Meat,C,4880,421.89,364.69,2015,8-5-2015
Norway,Meat,C,7114,421.89,364.69,2015,11-11-2015
Germany,Clothes,H,242,109.28,35.84,2016,12-8-2016
Norway,Clothes,C,3814,109.28,35.84,2015,3-1-2015
Norway,Cereal,C,6983,205.7,117.11,2016,1-4-2016
Germany,Clothes,L,845,109.28,35.84,2015,8-9-2015
Turkey,Meat,H,9856,421.89,364.69,2015,1-12-2015
Finland,Cereal,C,8555,205.7,117.11,2015,9-4-2015
Turkey,Clothes,C,280,109.28,38.56,2016,6-3-2016
Turkey,Cereal,M,5452,205.7,117.11,2016,3-11-2016
Finland,Vegetables,M,7764,154.06,90.93,2017,7-9-2017
Turkey,Vegetables,L,723,154.06,90.93,2017,5-12-2017
Germany,Clothes,L,3878,109.28,35.84,2017,6-9-2017
Iceland,Clothes,C,2450,109.28,35.84,2017,1-11-2017
Norway,Cereal,H,6854,205.7,117.11,2016,5-8-2016
Germany,Meat,M,6040,421.89,364.69,2015,3-11-2015
Norway,Meat,M,2981,421.89,364.69,2016,5-6-2016
Norway,Vegetables,M,3730,154.06,90.93,2016,6-5-2016
Finland,Meat,M,9659,421.89,366.54,2015,2-10-2015
Turkey,Meat,M,3067,421.89,364.69,2015,4-1-2015
Finland,Vegetables,H,4322,154.06,90.93,2015,11-11-2015
Finland,Clothes,L,9481,109.28,35.84,2015,6-8-2015
Finland,Vegetables,L,904,154.06,90.93,2016,8-9-2016
Norway,Meat,M,7533,421.89,364.69,2015,7-2-2015
Turkey,Meat,H,5376,421.89,364.69,2017,1-2-2017
Iceland,Cereal,M,7768,205.7,117.11,2016,12-2-2016
Norway,Vegetables,H,1571,154.06,90.93,2015,3-6-2015
Norway,Cereal,L,1204,205.7,117.11,2017,2-11-2017
Turkey,Meat,H,6822,421.89,364.69,2015,8-6-2015
Norway,Clothes,H,5757,109.28,35.84,2015,3-2-2015
Iceland,Vegetables,M,5986,154.06,90.93,2015,12-10-2015
Turkey,Cereal,L,5966,205.7,118.25,2015,9-2-2015
Turkey,Meat,L,3869,421.89,364.69,2017,2-5-2017
Finland,Vegetables,L,687,154.06,90.93,2015,5-12-2015
Norway,Cereal,M,8547,205.7,117.11,2016,11-5-2016
Turkey,Clothes,C,9171,109.28,35.84,2016,7-12-2016
Finland,Meat,H,3076,421.89,364.69,2016,10-5-2016
Norway,Clothes,L,2644,109.28,35.84,2016,5-8-2016
Germany,Vegetables,L,8264,154.06,90.93,2016,12-2-2016
Germany,Meat,C,1659,421.89,364.69,2016,3-1-2016
Germany,Meat,M,5822,421.89,364.69,2016,5-4-2016
Finland,Vegetables,M,8962,154.06,90.93,2016,8-8-2016
Turkey,Clothes,C,1402,109.28,35.84,2016,7-5-2016
Iceland,Vegetables,C,1387,154.06,92.5,2015,9-1-2015
Turkey,Vegetables,L,1366,154.06,90.93,2016,7-1-2016
Germany,Vegetables,C,3152,154.06,90.93,2017,3-3-2017
Turkey,Clothes,C,8923,109.28,35.84,2017,1-8-2017
Germany,Meat,C,8713,421.89,364.69,2015,12-2-2015
Turkey,Cereal,C,8622,205.7,117.11,2015,12-9-2015
Turkey,Vegetables,C,4897,154.06,90.93,2017,5-7-2017
Finland,Vegetables,L,2669,154.06,90.93,2015,11-1-2015
Iceland,Vegetables,C,7710,154.06,90.93,2017,2-3-2017
Germany,Vegetables,M,4717,154.06,90.93,2015,8-11-2015
Iceland,Clothes,C,4056,109.28,35.84,2015,12-9-2015
Turkey,Meat,H,7753,421.89,366.5,2017,2-8-2017
Finland,Clothes,C,8478,109.28,35.84,2015,3-12-2015
Turkey,Meat,L,4118,421.89,364.69,2016,8-9-2016
Turkey,Vegetables,M,7601,154.06,90.93,2016,5-3-2016
Iceland,Cereal,C,3010,205.7,117.11,2016,5-1-2016
Germany,Meat,C,2243,421.89,364.69,2016,10-8-2016
Iceland,Clothes,C,5253,109.28,35.84,2015,1-9-2015
Turkey,Cereal,H,942,205.7,117.11,2017,7-4-2017
Germany,Vegetables,L,9387,154.06,92.5,2017,1-3-2017
Turkey,Clothes,M,2501,109.28,35.84,2016,8-4-2016
Norway,Vegetables,L,3601,154.06,90.93,2016,10-8-2016
Turkey,Clothes,M,6484,109.28,35.84,2015,8-9-2015
Germany,Meat,C,1907,421.89,364.69,2015,9-3-2015
Iceland,Vegetables,H,3329,154.06,90.93,2015,9-3-2015
Turkey,Vegetables,M,9189,154.06,90.93,2017,3-8-2017
Iceland,Vegetables,M,2792,154.06,90.93,2016,3-9-2016
Finland,Clothes,M,2682,109.28,35.84,2015,11-2-2015
Norway,Clothes,H,3902,109.28,35.84,2016,10-1-2016
Norway,Vegetables,H,4108,154.06,92,2015,8-6-2015
Norway,Cereal,H,9422,205.7,117.11,2015,1-12-2015
Finland,Clothes,H,7,109.28,35.84,2017,7-3-2017
Germany,Clothes,C,6229,109.28,35.84,2017,4-8-2017
Norway,Meat,M,4587,421.89,364.69,2015,4-3-2015
Norway,Meat,M,4179,421.89,364.69,2015,6-6-2015
Germany,Vegetables,H,3022,154.06,90.93,2017,7-5-2017
Norway,Clothes,L,3766,109.28,35.84,2016,6-10-2016
Germany,Vegetables,C,703,154.06,90.93,2015,12-10-2015
Turkey,Meat,M,339,421.89,367.25,2016,4-1-2016
Iceland,Meat,M,3400,421.89,364.69,2015,7-3-2015
Iceland,Meat,C,1104,421.89,364.69,2016,5-3-2016
Finland,Cereal,M,993,205.7,117.11,2017,2-3-2017
Turkey,Clothes,C,9082,109.28,35.84,2017,5-3-2017
Finland,Meat,C,3454,421.89,364.69,2015,12-6-2015
Finland,Clothes,C,5120,109.28,35.84,2017,4-3-2017
Finland,Clothes,L,4375,109.28,35.84,2016,5-2-2016
Germany,Cereal,H,9694,205.7,117.11,2016,5-6-2016
Finland,Cereal,H,248,205.7,117.11,2016,3-3-2016
Finland,Cereal,L,4133,205.7,117.11,2016,3-7-2016
Norway,Meat,L,5389,421.89,364,2017,2-8-2017
Turkey,Meat,H,8645,421.89,364.69,2015,10-2-2015
Norway,Vegetables,H,2662,154.06,90.93,2017,1-2-2017
Finland,Vegetables,C,774,154.06,90.93,2016,12-12-2016
Germany,Vegetables,L,6192,154.06,90.93,2017,4-3-2017
Norway,Vegetables,L,7119,154.06,90.93,2015,1-10-2015
Iceland,Meat,H,3530,421.89,364.69,2015,3-1-2015
Iceland,Cereal,C,1404,205.7,117.11,2017,6-3-2017
Germany,Cereal,H,1021,205.7,117.11,2015,2-2-2015
Finland,Cereal,H,2977,205.7,117.11,2015,3-3-2015
Turkey,Clothes,M,5752,109.28,35.84,2017,4-11-2017
Germany,Vegetables,H,5751,154.06,90.93,2016,7-4-2016
Germany,Vegetables,C,2043,154.06,92.1,2017,4-11-2017
Iceland,Cereal,L,3388,205.7,117.11,2015,7-2-2015
Turkey,Vegetables,L,4560,154.06,90.93,2016,4-2-2016
Iceland,Cereal,M,9929,205.7,117.11,2015,10-11-2015
Germany,Meat,L,709,421.89,364.69,2016,8-3-2016
Norway,Vegetables,M,4604,154.06,90.93,2017,1-4-2017
Iceland,Cereal,L,2905,205.7,117.11,2016,9-5-2016
Germany,Vegetables,H,5094,154.06,90.93,2017,3-5-2017
Germany,Vegetables,L,9356,154.06,90.93,2016,5-8-2016
Iceland,Clothes,C,6376,109.28,35.84,2015,2-10-2015
Germany,Vegetables,H,2397,154.06,90.93,2016,6-8-2016
Turkey,Clothes,H,4542,109.28,35.84,2015,8-7-2015
